Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
TS047_RoL_RNA_652_2	4.9	21686501	8126880	21686501	2190336601	2676276	2171551190	0.8576495042553508
TS047_RoL_RNA_655_1	4.9	27989772	9762289	27989772	2826966972	1445097	2807819673	0.677308903487253
TS047_RoL_RNA_655_2	4.9	27989772	10315488	27989772	2826966972	3372168	2804223846	0.8045062508781231
TS047_RoL_RNA_676_1	4.9	24748737	8671292	24748737	2499622437	1374367	2481736718	0.7155368240919658
TS047_RoL_RNA_676_2	4.9	24748737	9036010	24748737	2499622437	2914179	2479341366	0.8113653766182769
TS047_RoL_RNA_677_1	4.9	23962083	8340372	23962083	2420170383	1386658	2403105257	0.7051208509892752
TS047_RoL_RNA_677_2	4.9	23962083	8909826	23962083	2420170383	2919530	2400149705	0.8272425008020603
TS047_RoL_RNA_678_1	4.9	23950079	8305029	23950079	2418957979	1272543	2402494544	0.6806002891710423
TS047_RoL_RNA_678_2	4.9	23950079	8742416	23950079	2418957979	3104582	2399905895	0.7876153354212524
TS047_RoL_RNA_679_1	4.9	26051805	9078892	26051805	2631232305	1345053	2613322032	0.6806800359651255
TS047_RoL_RNA_679_2	4.9	26051805	9636754	26051805	2631232305	2574562	2610694973	0.7805214294828293
TS047_RoL_RNA_683_1	4.9	20191368	6990392	20191368	2039328168	1342283	2024437608	0.7301698781811755
TS047_RoL_RNA_683_2	4.9	20191368	7649863	20191368	2039328168	2647472	2021877435	0.8557098986728653
TS047_RoL_RNA_707_1	4.9	26524739	9213671	26524739	2678998639	1530602	2659932657	0.7116831536397059
TS047_RoL_RNA_707_2	4.9	26524739	9892174	26524739	2678998639	3387736	2656612486	0.8356164379522105
TS047_RoL_RNA_708_1	4.9	33732273	11737519	33732273	3406959573	1796535	3382548100	0.7165178358281623
TS047_RoL_RNA_708_2	4.9	33732273	12478708	33732273	3406959573	4475664	3377938926	0.8518048535118323
TS047_RoL_RNA_710_1	4.9	26495110	9169625	26495110	2676006110	1548939	2656477019	0.7297849929049676
TS047_RoL_RNA_710_2	4.9	26495110	9939141	26495110	2676006110	3426441	2653319427	0.847781434998293
TS047_RoL_RNA_79_1	4.9	24768073	9391231	24768073	2501575373	1426142	2468683311	1.3148539258505085
TS047_RoL_RNA_79_2	4.9	24768073	10043072	24768073	2501575373	2991064	2466389513	1.4065480648621655
TS047_RoL_RNA_85_1	4.9	27154711	10352695	27154711	2742625811	1170983	2710375600	1.175888116805884
TS047_RoL_RNA_85_2	4.9	27154711	10791233	27154711	2742625811	3002009	2707589332	1.277479372485932
