feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Simkaniaceae_Genus	Treatment	A+ T+ P+	0.703085200162696	0.250354872317116	165	13	0.00560402700321288	0.0695062572485869
Aurantisolimonas	Treatment	A- T+ P+	-1.96323060003902	0.702103549263998	165	122	0.00580851020786942	0.0716944134352965
Luteolibacter	Treatment	A- T- P+	1.44206120533008	0.516478203214301	165	45	0.00587920935537402	0.0722181726104837
Agitococcus	Treatment	A+ T+ P+	-1.73945731380494	0.623864607301534	165	48	0.00594719550244044	0.0727037536303126
Paracoccaceae_Genus	Treatment	A+ T+ P+	-1.61392339086849	0.579323170841766	165	156	0.00598788269336016	0.0728525727692153
X37.13_Genus	Treatment	A+ T+ P+	-0.119047530130899	0.042784093131972	165	4	0.00604725816724202	0.0732262778071249
Phaselicystis	Treatment	A- T+ P+	-0.764430711344822	0.275304472115861	165	18	0.00615184922555964	0.0739695317432709
Vibrio	Treatment	A- T+ P+	2.28464131968152	0.823039077340563	165	61	0.00616654021969342	0.0739695317432709
Pirellula	Treatment	A+ T+ P+	-1.70867616305938	0.617640737091936	165	83	0.00633864713049245	0.0756787075626552
Vampirovibrionaceae_Genus	Treatment	A- T+ P+	1.91916742059552	0.695055912520251	165	89	0.00643730710378502	0.0764065916687565
Kapabacteriales_Genus	Treatment	A- T+ P+	-1.15071682628861	0.416927151829384	165	30	0.00645942223109644	0.0764065916687565
Aeromonas	Treatment	A- T+ P+	0.949762325042054	0.344498825648771	165	165	0.00651726301730836	0.0765714258671595
