feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Agitococcus	Treatment	A+ T+ P+	-1.61716263364958	0.523691342297245	130	37	0.00247904030279764	0.0310307458591566
env.OPS_17_Genus	Treatment	A- T+ P+	2.9480531777548	0.956734442031791	130	86	0.00253095775148442	0.0314098346594476
Rhodococcus	Treatment	A+ T+ P+	1.80375786010947	0.586819169892489	130	65	0.00259150094182421	0.0318886387078708
Sediminibacterium	Treatment	A- T+ P+	-1.68556429703113	0.553247771828081	130	28	0.00281916000292244	0.0343984901196923
Tundrisphaera	Treatment	A- T+ P+	-2.11904648018267	0.698420219663958	130	104	0.00293124877964312	0.0354681102336818
Candidatus_Paracaedibacter	Treatment	A- T+ P+	-0.84486905511597	0.280402654621709	130	20	0.00312700753742363	0.0375240904490836
Bacteroidia_Genus	Treatment	A+ T+ P+	-2.74422533276689	0.911845765777207	130	56	0.00316106031609762	0.0376217998276536
Larkinella	Treatment	A- T- P+	0.999512368059996	0.333195941884451	130	13	0.00325698356716407	0.0384482938172539
Sporomusaceae_Genus	Treatment	A- T- P+	-1.3690714719576	0.456874662512602	130	16	0.0032887465789053	0.0385101615529878
Candidatus_Paracaedibacter	Treatment	A+ T+ P+	-0.899312077851299	0.300467543807877	130	20	0.00332473408400405	0.0385936255991608
Pirellula	Treatment	A+ T+ P+	-1.80552082247017	0.603720082069847	130	74	0.00334903362637346	0.0385936255991608
SH3.11	Treatment	A- T+ P+	1.82710276693949	0.613811799931827	130	74	0.00349519603604246	0.0393412763126639
Vibrio	Treatment	A- T+ P+	2.17218886464069	0.729129216101859	130	38	0.00346863555354307	0.0393412763126639
Elstera	Treatment	A- T+ P+	-2.2341397701892	0.75041528803989	130	42	0.00348929863213301	0.0393412763126639
Caulobacter	Treatment	A- T- P+	-1.0021879751518	0.338001580469692	130	18	0.00362076006432775	0.0401323939954496
Nordella	Treatment	A- T- P+	-0.495383349367432	0.167074223509191	130	10	0.00362064771024282	0.0401323939954496
Azospira	Treatment	A- T+ P+	1.22522010160096	0.413590693929571	130	27	0.00364990262837769	0.0401489289121546
Piscinibacter	Treatment	A+ T+ P+	-0.694704794623897	0.236625580743532	130	13	0.0039546094376378	0.0431736308530082
Pirellulaceae_Genus	Treatment	A+ T+ P+	1.17238326287687	0.402087504560155	130	40	0.00420148928869599	0.0455265854267655
Pirellula	Treatment	A- T- P+	-1.56963071954473	0.542876793648939	130	74	0.00451979072527847	0.0484650069077661
Verrucomicrobiia_Genus	Treatment	A- T- P+	-1.37022244140172	0.474147343252704	130	52	0.00453942213461171	0.0484650069077661
SWB02	Treatment	A- T+ P+	-1.25606226453226	0.436702005294443	130	20	0.00472715227722731	0.0500440373079541
Sporocytophaga	Treatment	A+ T+ P+	0.302469464743989	0.105236824638043	130	7	0.00475625147968159	0.0500440373079541
Beijerinckiaceae_Genus	Treatment	A+ T+ P+	0.960457371150062	0.335044721817268	130	33	0.004863587644934	0.0508052464780156
alphaI_cluster	Treatment	A- T- P+	1.46719888144446	0.513008196307823	130	49	0.00496048026248408	0.0514472667223349
Eremiobacteria_Genus	Treatment	A- T+ P+	-0.806239207470909	0.284150192128773	130	18	0.00530275524863782	0.0546070966029937
Fundidesulfovibrio	Treatment	A+ T+ P+	0.426563955925893	0.150551505987572	130	4	0.00536591260811751	0.0548683458238494
X37.13_Genus	Treatment	A- T- P+	-0.119047530130906	0.0422496151233329	130	4	0.00561746849119312	0.0568924243644897
Sediminibacterium	Treatment	A+ T+ P+	-1.66955628623778	0.592836752357531	130	28	0.00564222390391634	0.0568924243644897
Neochlamydia	Treatment	A- T+ P+	-0.932477344209912	0.334290588074219	130	26	0.00610065400852747	0.0607110211473015
Mesorhizobium	Treatment	A- T- P+	1.02971345649729	0.369178564413313	130	22	0.00610455171315842	0.0607110211473015
Aurantisolimonas	Treatment	A- T+ P+	-1.88154843196742	0.67572152235196	130	99	0.00618840871535499	0.0611263228210575
Reyranella	Treatment	A+ T+ P+	1.51888170344835	0.551067964758811	130	63	0.00671509766344478	0.0654384013914217
Haliangiaceae_Genus	Treatment	A- T- P+	-2.38140671746743	0.863598904337801	130	63	0.00669024894305978	0.0654384013914217
Legionella	Treatment	A- T+ P+	-1.82594521653332	0.663341452965134	130	98	0.00678513362920674	0.0656800935307213
Devosia	Treatment	A- T+ P+	1.9073139886141	0.698755470005404	130	70	0.00724925924417885	0.069708108758594
