gene	log2FoldChange	padj	baseMean	pvalue	stat	metadata	value
cyldl	0.8876629896123793	0.0013652444711884026	358.79860930055384	1.7779280260631016e-4	3.74864462410585	Treatment	A+ T- P+
cyp11a1.1	6.5630800304992505	0.0010764204150139768	87.65436779142358	1.3218005581946537e-4	3.822360877048624	Treatment	A+ T- P+
cyp1a	-1.6025872926818523	0.0026837288961899784	2990.82813388885	4.0711542929039213e-4	-3.5354278334954246	Treatment	A+ T- P+
cyp1c1	-1.2787408962885012	0.008711605859920242	85.8376860884838	0.0017230451737258274	-3.1342320851818872	Treatment	A+ T- P+
cyp1d1	-1.8276656900139865	1.1235428962894001e-4	400.5807031036965	8.60107642955309e-6	-4.449648943002954	Treatment	A+ T- P+
cyp27a1.1	-1.378183669545062	0.00134105450359417	1550.099703230386	1.741866101234182e-4	-3.7537816495353122	Treatment	A+ T- P+
cyp27a1.2	-1.6550644030346253	0.0015434981218057503	94.06105282831263	2.0737921041991087e-4	-3.709853503977834	Treatment	A+ T- P+
cyp2aa1	-1.5230857024404958	3.619450251749716e-5	375.98227719771603	2.2019290011631094e-6	-4.733949162775936	Treatment	A+ T- P+
cyp2aa12	-0.9704325742321216	0.02380563627302203	1043.8371870702476	0.006066176125140796	-2.7441827273593282	Treatment	A+ T- P+
cyp2ad2	-2.2701584840333378	0.01765549948698843	2872.8701426497937	0.004159827295261035	-2.8657803745824877	Treatment	A+ T- P+
cyp2ad3	-2.058431501087899	2.3144029972687847e-6	598.3029866350425	8.206704172566245e-8	-5.362524041095102	Treatment	A+ T- P+
cyp2ad6	-2.054156253534195	4.708572428240716e-6	117.42431323941905	1.9143513491220089e-7	-5.207467712208817	Treatment	A+ T- P+
cyp2j20	-1.2824004297363476	0.048683894572261854	538.7878985509209	0.015023499403389496	-2.4318120861100714	Treatment	A+ T- P+
cyp2k18	-1.8800708554239787	0.008379746950540418	5288.676467562255	0.0016415951547835773	-3.1484131154736383	Treatment	A+ T- P+
cyp2k19	-0.8702711452680528	0.00944389247813833	6364.278289378898	0.0019087791616813322	-3.1040703847233857	Treatment	A+ T- P+
cyp2k21	-1.3301341894779202	0.01617681749584641	902.9065650489082	0.003714373940004176	-2.901452240903058	Treatment	A+ T- P+
cyp2k22	-3.1453609211592646	0.0034149826999459163	3977.9278022322924	5.480693078457914e-4	-3.4560914671284615	Treatment	A+ T- P+
cyp2k6	-3.981545541273355	0.029660660346607342	1713.6977751937213	0.00802582338054936	-2.6509815150833043	Treatment	A+ T- P+
cyp2n13	-3.0221183493025032	9.376168796035692e-11	1347.7759381137755	5.283118377326178e-13	-7.2178107109909275	Treatment	A+ T- P+
cyp2p6	-2.5024407175284478	2.1594656507465177e-13	3100.610690366398	4.3006796366934097e-16	-8.129780644303219	Treatment	A+ T- P+
cyp2p7	-1.3602665397326867	0.006268515978378666	459.31897988040316	0.0011499503779205506	-3.25101191606831	Treatment	A+ T- P+
cyp2p8	-1.6255212830530714	0.02670248293340873	266.644993966378	0.007007991222091969	-2.696464285236424	Treatment	A+ T- P+
cyp2p9	-1.6055167767102954	1.9224581564949748e-6	3902.334536739278	6.611455650645758e-8	-5.401422352255907	Treatment	A+ T- P+
cyp2u1	-1.7368202894110456	0.0060284021616778824	209.6915113518447	0.0010928254173693038	-3.2654701014122667	Treatment	A+ T- P+
cyp2v1	-1.4868136014619446	8.550411742316223e-8	464.7069941568187	1.5990229371893648e-9	-6.034048242041089	Treatment	A+ T- P+
cyp2x10.2	-1.8143984398921273	0.001981725056218705	1443.3061202858735	2.806007936502417e-4	-3.632580686487054	Treatment	A+ T- P+
cyp2x12	-2.8880003466202733	0.0012498401378211296	796.9555460197947	1.5984986073167698e-4	-3.775245957500376	Treatment	A+ T- P+
cyp2x8	-2.114172531388684	5.845552145004579e-4	1804.9292099841205	6.201333795448585e-5	-4.005015792690617	Treatment	A+ T- P+
cyp2x9	-1.3289605034443128	0.007037991877830374	3325.3576240797347	0.0013298580854306191	-3.209457276287464	Treatment	A+ T- P+
cyp2y3	-2.470007003119637	0.00688338777092207	1929.8236460928144	0.0012956296503775693	-3.216946038028855	Treatment	A+ T- P+
cyp39a1	-3.5029216592431456	0.0013691772139754572	566.2513809977445	1.7837146198485337e-4	-3.747829459400938	Treatment	A+ T- P+
cyp3a65	-2.528751523352805	3.3046215166085217e-9	24373.634917684194	3.2746043104295837e-11	-6.633661449309204	Treatment	A+ T- P+
cyp3c1	-1.3457301081469542	6.3901260537499755e-9	3328.2262667893547	7.002988926827495e-11	-6.520593173892381	Treatment	A+ T- P+
cyp46a1.1	-1.2524588570933501	0.021790735290887635	10848.900336538203	0.005413018908903646	-2.7813688972729302	Treatment	A+ T- P+
cyp46a1.2	-1.6157898411902798	0.011735607532952457	832.9117660449039	0.002487695695040779	-3.024834067083571	Treatment	A+ T- P+
cyp46a1.3	-1.1923929678533525	4.077256005568537e-4	1663.4905202152488	4.054084151842811e-5	-4.10437556183275	Treatment	A+ T- P+
cyp46a1.5	-2.794412937843245	1.4919355615972577e-4	2279.7622734615275	1.2051726035538153e-5	-4.376650004500949	Treatment	A+ T- P+
