taxa	metadata	value	coef	stderr	N	N.not.0	pval	qval	comparison_name	base_treatment	comparison_treatment
Polymorphobacter	Treatment	A- T- P+	2.81179753470032	0.43153047393055	236	63	4.57519975210108e-10	8.27153935290861e-8	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Pseudoxanthomonas	Treatment	A+ T+ P+	3.00528410348424	0.461238434754345	236	49	4.58003286429048e-10	8.27153935290861e-8	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Vampirovibrionaceae_Genus	Treatment	A+ T+ P+	4.0577803218917	0.635864701424829	236	111	9.68079772231692e-10	1.63908006435978e-7	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Plesiomonas	Treatment	A- T- P+	-2.71453741487897	0.426863170178538	236	230	1.09491776403749e-9	1.74478366045738e-7	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Unknown_Family_Genus	Treatment	A- T+ P+	1.66188358009081	0.263330882479719	236	17	1.4287315703016902e-9	2.15024101330405e-7	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Chthoniobacter	Treatment	A+ T+ P+	2.78177399765696	0.446611074451106	236	43	2.2433233331843403e-9	3.19850679452441e-7	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Halomonas	Treatment	A+ T- P+	2.32124112743297	0.381640175645328	236	48	4.95159115724076e-9	6.09720929316601e-7	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Agromyces	Treatment	A- T- P+	-3.41395067587032	0.560989556053354	236	75	4.864385521920711e-9	6.09720929316601e-7	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Agromyces	Treatment	A- T+ P-	-3.75348904476506	0.61674179267802	236	75	4.85367160825954e-9	6.09720929316601e-7	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Flavihumibacter	Treatment	A+ T+ P+	2.66298773542361	0.439948111037774	236	42	5.7938504376513e-9	6.82414818939017e-7	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Barnesiellaceae_Genus	Treatment	A+ T- P-	2.65503986159472	0.440262994669396	236	53	6.5297929492009706e-9	7.3705037914106e-7	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Uliginosibacterium	Treatment	A+ T- P+	1.61688458920453	0.269051885972873	236	20	7.303591521906021e-9	7.60978055109362e-7	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Plesiomonas	Treatment	A- T+ P+	-2.66552275154723	0.443003935726732	236	230	7.022717226255441e-9	7.60978055109362e-7	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Pseudomonas	Treatment	A- T+ P+	2.0892211148966	0.352773187262622	236	236	1.15967262490088e-8	1.1219832645916e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Candidatus_Megaira	Treatment	A+ T+ P+	2.68743210587344	0.45373528234019	236	64	1.15583519955384e-8	1.1219832645916e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Culicoidibacter	Treatment	A- T- P+	-3.50437656211445	0.598151060591197	236	229	1.61947249931407e-8	1.51281068987649e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
